альбом;название_песни;слово;лемма;часть_речи;род;число;падеж;время;лицо;наклонение;вид;залог;степень;возвратность;одушевленность;переходность;имена_собственные;таксономия;подтема_инструментов;таксономия_прилагательных
Здравствуйте, дети!, 2004;Здравствуйте, дети!;на;на;PREP;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;весла;весло;NOUN;средний;множественное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;мы;мы;NPRO;;множественное;именительный;;1;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;очень;очень;ADVB;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;по;по;PREP;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;взрослому;взрослый;ADJF;мужской;единственное;дательный;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;смотрим;смотреть;VERB;;множественное;;настоящее;1;изъявительное;несовершенный;;;;;переходный;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;Playboy;playboy;;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;Привет;привет;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;вам;вы;NPRO;;множественное;дательный;;2;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;фантазёры;фантазёр;NOUN;мужской;множественное;именительный;;;;;;;;одушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;Небо;небо;NOUN;средний;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;манит;манить;VERB;;единственное;;настоящее;3;изъявительное;несовершенный;;;;;переходный;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;Сердце;сердце;NOUN;средний;единственное;винительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;стонет;стонать;VERB;;единственное;;настоящее;3;изъявительное;несовершенный;;;;;непереходный;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;Мир;мир;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;в;в;PREP;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;кармане;карман;NOUN;мужской;единственное;предложный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;Солнце;солнце;NOUN;средний;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;на;на;PREP;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;ладони;ладонь;NOUN;женский;множественное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;Небо;небо;NOUN;средний;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;манит;манить;VERB;;единственное;;настоящее;3;изъявительное;несовершенный;;;;;переходный;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;Сердце;сердце;NOUN;средний;единственное;винительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;стонет;стонать;VERB;;единственное;;настоящее;3;изъявительное;несовершенный;;;;;непереходный;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;Мир;мир;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;в;в;PREP;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;кармане;карман;NOUN;мужской;единственное;предложный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;Солнце;солнце;NOUN;средний;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;на;на;PREP;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;ладони;ладонь;NOUN;женский;множественное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;Солнце;солнце;NOUN;средний;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;на;на;PREP;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;ладони;ладонь;NOUN;женский;множественное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;Солнце;солнце;NOUN;средний;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;на;на;PREP;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;ладони;ладонь;NOUN;женский;множественное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;Солнце;солнце;NOUN;средний;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;на;на;PREP;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;ладони;ладонь;NOUN;женский;множественное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;Солнце;солнце;NOUN;средний;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;на;на;PREP;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;ладони;ладонь;NOUN;женский;множественное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;Солнце;солнце;NOUN;средний;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;на;на;PREP;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;ладони;ладонь;NOUN;женский;множественное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;Солнце;солнце;NOUN;средний;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;на;на;PREP;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;ладони;ладонь;NOUN;женский;множественное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;Солнце;солнце;NOUN;средний;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;на;на;PREP;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;ладони;ладонь;NOUN;женский;множественное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;Солнце;солнце;NOUN;средний;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;на;на;PREP;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;ладони;ладонь;NOUN;женский;множественное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Десять;десять;десять;NUMR;;;именительный;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Десять;окон;окно;NOUN;средний;множественное;родительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Десять;десять;десять;NUMR;;;именительный;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Десять;спален;спальный;ADJS;мужской;единственное;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Десять;как;как;CONJ;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Десять;захочешь;захотеть;VERB;;единственное;;будущее;2;изъявительное;совершенный;;;;;переходный;;;;
Здравствуйте, дети!, 2004;Десять;так;так;CONJ;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Десять;и;и;CONJ;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Десять;будешь;быть;VERB;;единственное;;будущее;2;изъявительное;несовершенный;;;;;непереходный;;;;
Здравствуйте, дети!, 2004;Десять;старый;старый;ADJF;мужской;единственное;именительный;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Десять;дом;дом;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;здания и сооружения;;
Здравствуйте, дети!, 2004;Десять;твой;твой;APRO;мужской;единственное;винительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Десять;обезглавлен;обезглавить;PRTS;мужской;единственное;;прошедшее;;;совершенный;страдательный;;;;;;;;
Здравствуйте, дети!, 2004;Десять;десять;десять;NUMR;;;именительный;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Десять;лет;год;NOUN;мужской;множественное;родительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Десять;уже;уже;ADVB;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Десять;не;не;PRCL;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Десять;купишь;купить;VERB;;единственное;;будущее;2;изъявительное;совершенный;;;;;переходный;;;;
Здравствуйте, дети!, 2004;Десять;где-то;где-то;ADVB;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Десять;в;в;PREP;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Десять;море;море;NOUN;средний;единственное;предложный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Десять;под;под;PREP;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Десять;ракушкой;ракушка;NOUN;женский;единственное;творительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Десять;старый;старый;ADJF;мужской;единственное;именительный;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Десять;добрый;добрый;ADJF;мужской;единственное;именительный;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Десять;Санта;сант;NOUN;мужской;единственное;родительный;;;;;;;;одушевлённое;;;;;
Здравствуйте, дети!, 2004;Десять;Клаус;клаус;NOUN;мужской;единственное;именительный;;;;;;;;одушевлённое;;;;;
Здравствуйте, дети!, 2004;Десять;целовал;целовать;VERB;мужской;единственное;;прошедшее;;изъявительное;несовершенный;;;;;переходный;;;;
Здравствуйте, дети!, 2004;Десять;твои;твой;APRO;;множественное;именительный;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Десять;игрушки;игрушка;NOUN;женский;множественное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Десять;забывая;забывать;GRND;;;;настоящее;;;несовершенный;;;;;переходный;;;;
Здравствуйте, дети!, 2004;Десять;свою;свой;APRO;женский;единственное;винительный;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Десять;старость;старость;NOUN;женский;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Десять;радугой;радуга;NOUN;женский;единственное;творительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Десять;проснется;проснуться;VERB;;единственное;;будущее;3;изъявительное;совершенный;;;;;непереходный;;;;
Здравствуйте, дети!, 2004;Десять;сердце;сердце;NOUN;средний;единственное;винительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Десять;с;с;PREP;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Десять;радостью;радость;NOUN;женский;единственное;творительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Десять;ты;ты;NPRO;;единственное;именительный;;2;;;;;;;;;;;
Здравствуйте, дети!, 2004;Десять;вспомнишь;вспомнить;VERB;;единственное;;будущее;2;изъявительное;совершенный;;;;;переходный;;;;
Здравствуйте, дети!, 2004;Десять;детство;детство;NOUN;средний;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Десять;дождём;дождь;NOUN;мужской;единственное;творительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Десять;купалось;купаться;VERB;средний;единственное;;прошедшее;;изъявительное;несовершенный;;;;;непереходный;;;;
Здравствуйте, дети!, 2004;Десять;солнце;солнце;NOUN;средний;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Десять;нам;мы;NPRO;;множественное;дательный;;1;;;;;;;;;;;
Здравствуйте, дети!, 2004;Десять;было;быть;VERB;средний;единственное;;прошедшее;;изъявительное;несовершенный;;;;;непереходный;;;;
Здравствуйте, дети!, 2004;Десять;где;где;ADVB;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Десять;погреться;погреться;INFN;;;;;;;совершенный;;;;;непереходный;;;;
Здравствуйте, дети!, 2004;Десять;десять;десять;NUMR;;;именительный;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Десять;кошек;кошка;NOUN;женский;множественное;родительный;;;;;;;;одушевлённое;;;животные;;
Здравствуйте, дети!, 2004;Десять;на;на;PREP;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Десять;окошке;окошко;NOUN;средний;единственное;предложный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Десять;улыбается;улыбаться;VERB;;единственное;;настоящее;3;изъявительное;несовершенный;;;;;непереходный;;;;
Здравствуйте, дети!, 2004;Десять;кому-то;кто-то;NPRO;мужской;единственное;дательный;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Десять;от;от;PREP;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Десять;пирога;пирог;NOUN;мужской;единственное;родительный;;;;;;;;неодушевлённое;;;еда и напитки;;
Здравствуйте, дети!, 2004;Десять;остались;остаться;VERB;;множественное;;прошедшее;;изъявительное;совершенный;;;;;непереходный;;;;
Здравствуйте, дети!, 2004;Десять;крошки;крошка;NOUN;женский;множественное;винительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Десять;видишь;видеть;VERB;;единственное;;настоящее;2;изъявительное;несовершенный;;;;;переходный;;;;
Здравствуйте, дети!, 2004;Десять;звёзды;звезда;NOUN;женский;множественное;винительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Десять;скоро;скоро;ADVB;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Десять;утро;утро;NOUN;средний;единственное;винительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Десять;вдоль;вдоль;PREP;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Десять;реки;река;NOUN;женский;единственное;родительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Десять;бежали;бежать;VERB;;множественное;;прошедшее;;изъявительное;совершенный;;;;;непереходный;;;;
Здравствуйте, дети!, 2004;Десять;кони;конь;NOUN;мужской;множественное;именительный;;;;;;;;одушевлённое;;;животные;;
Здравствуйте, дети!, 2004;Десять;десять;десять;NUMR;;;именительный;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Десять;пальцев;палец;NOUN;мужской;множественное;родительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Десять;до;до;PREP;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Десять;улыбки;улыбка;NOUN;женский;множественное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Десять;вся;весь;APRO;женский;единственное;именительный;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Десять;ладонь;ладонь;NOUN;женский;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Десять;покрылась;покрыться;VERB;женский;единственное;;прошедшее;;изъявительное;совершенный;;;;;непереходный;;;;
Здравствуйте, дети!, 2004;Десять;солью;соль;NOUN;женский;единственное;творительный;;;;;;;;неодушевлённое;;;еда и напитки;;
Здравствуйте, дети!, 2004;Десять;девочка;девочка;NOUN;женский;единственное;именительный;;;;;;;;одушевлённое;;;лица;;
Здравствуйте, дети!, 2004;Десять;прости;простить;VERB;;единственное;;;;повелительное;совершенный;;;;;переходный;;;;
Здравствуйте, дети!, 2004;Десять;ошибку;ошибка;NOUN;женский;единственное;винительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Иду;Пропуская;пропускать;GRND;;;;настоящее;;;несовершенный;;;;;переходный;;;;
Здравствуйте, дети!, 2004;Иду;мимо;мимо;PREP;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Иду;пальцев;палец;NOUN;мужской;множественное;родительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Иду;трамваи;трамвай;NOUN;мужской;множественное;именительный;;;;;;;;неодушевлённое;;;инструменты;транспортные средства;
Здравствуйте, дети!, 2004;Иду;я;я;NPRO;;единственное;именительный;;1;;;;;;;;;;;
Здравствуйте, дети!, 2004;Иду;иду;идти;VERB;;единственное;;настоящее;1;изъявительное;несовершенный;;;;;непереходный;;;;
Здравствуйте, дети!, 2004;Иду;по;по;PREP;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Иду;пешеходным;пешеходный;ADJF;мужской;единственное;творительный;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Иду;шпалам;шпала;NOUN;женский;множественное;дательный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Иду;Просыпая;просыпать;GRND;;;;настоящее;;;несовершенный;;;;;переходный;;;;
Здравствуйте, дети!, 2004;Иду;требуху;требуха;NOUN;женский;единственное;винительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Иду;кропалью;кропаль;NOUN;женский;единственное;творительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Иду;просыпаясь;просыпаться;GRND;;;;настоящее;;;несовершенный;;;;;непереходный;;;;
Здравствуйте, дети!, 2004;Иду;под;под;PREP;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Иду;чужим;чужой;ADJF;;множественное;дательный;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Иду;одеялом;одеяло;NOUN;средний;единственное;творительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Иду;Я;я;NPRO;;единственное;именительный;;1;;;;;;;;;;;
Здравствуйте, дети!, 2004;Иду;иду;идти;VERB;;единственное;;настоящее;1;изъявительное;несовершенный;;;;;непереходный;;;;
Здравствуйте, дети!, 2004;Иду;по;по;PREP;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Иду;новогодним;новогодний;ADJF;мужской;единственное;творительный;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Иду;песням;песня;NOUN;женский;множественное;дательный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Иду;я;я;NPRO;;единственное;именительный;;1;;;;;;;;;;;
Здравствуйте, дети!, 2004;Иду;иду;идти;VERB;;единственное;;настоящее;1;изъявительное;несовершенный;;;;;непереходный;;;;
Здравствуйте, дети!, 2004;Иду;по;по;PREP;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Иду;новомодным;новомодный;ADJF;средний;единственное;творительный;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Иду;танцам;танец;NOUN;мужской;множественное;дательный;;;;;;;;неодушевлённое;;;;;
